"","State","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location_Code","Marital_Status","Monthly_Premium_Auto","Months_Since_Last_Claim","Months_Since_Policy_Inception","Number_of_Open_Complaints","Number_of_Policies","Policy_Type","Policy","Renew_Offer_Type","Sales_Channel","Total_Claim_Amount","Vehicle_Class","Vehicle_Size","pred"
"35","Oregon",4932.916345,"No","Basic","Bachelor","Employed","F",37260,"Rural","Married",62,19,42,0,8,"Corporate Auto","Corporate L1","Offer3","Web",15.437681,"Four-Door Car","Medsize",6631.55291905955
"37","California",13891.73567,"No","Premium","Bachelor","Employed","M",42305,"Suburban","Married",117,10,62,0,2,"Personal Auto","Personal L3","Offer1","Agent",561.6,"Four-Door Car","Small",8201.41768027335
"38","Oregon",7380.976717,"No","Extended","Master","Employed","F",65706,"Suburban","Married",91,19,86,0,8,"Personal Auto","Personal L3","Offer2","Web",436.8,"Four-Door Car","Small",7705.70256362566
"40","Arizona",2521.633095,"No","Basic","High School or Below","Employed","M",53243,"Rural","Divorced",66,4,15,2,1,"Personal Auto","Personal L3","Offer1","Call Center",157.397849,"Four-Door Car","Medsize",5259.04149869221
"41","Nevada",2652.061785,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Married",70,7,1,1,1,"Corporate Auto","Corporate L3","Offer3","Call Center",484.318536,"Two-Door Car","Medsize",4989.81597241689
"42","Oregon",2771.045031,"Yes","Basic","College","Employed","F",50071,"Rural","Single",71,3,32,0,1,"Corporate Auto","Corporate L3","Offer2","Agent",18.918935,"Two-Door Car","Medsize",5050.00411376471
"43","California",3939.00637,"Yes","Extended","Bachelor","Employed","F",60021,"Suburban","Married",99,12,28,0,1,"Personal Auto","Personal L2","Offer2","Agent",882.871945,"Four-Door Car","Small",6415.10026254079
"44","Arizona",12231.87968,"No","Basic","High School or Below","Employed","M",43244,"Suburban","Married",103,15,16,0,2,"Personal Auto","Personal L2","Offer4","Agent",494.4,"Sports Car","Medsize",6503.08825025902
"45","Washington",2443.665166,"No","Basic","College","Employed","M",92834,"Suburban","Married",61,15,56,0,1,"Special Auto","Special L2","Offer2","Call Center",292.8,"Four-Door Car","Large",4623.15958029182
"46","Oregon",12819.10289,"No","Premium","Doctor","Disabled","F",10105,"Rural","Married",172,5,4,3,3,"Personal Auto","Personal L2","Offer1","Branch",0.517753,"SUV","Medsize",11077.1931180904
"47","Arizona",4468.510542,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",73,7,57,3,5,"Personal Auto","Personal L3","Offer3","Call Center",579.165954,"Four-Door Car","Medsize",5266.32123515259
"48","Oregon",5514.344018,"No","Basic","High School or Below","Employed","F",23218,"Suburban","Single",71,7,10,0,4,"Personal Auto","Personal L2","Offer4","Agent",447.79344,"Two-Door Car","Medsize",5501.59871066019
"49","California",3343.875326,"No","Extended","Bachelor","Unemployed","F",0,"Suburban","Married",92,11,77,0,1,"Corporate Auto","Corporate L2","Offer2","Call Center",529.624084,"Four-Door Car","Medsize",5355.03416770933
"50","Arizona",2294.478927,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Married",62,11,56,0,1,"Personal Auto","Personal L2","Offer4","Branch",313.023175,"Four-Door Car","Medsize",3673.20144608981
"53","Nevada",7983.431709,"No","Basic","High School or Below","Employed","F",36014,"Rural","Married",69,4,40,3,2,"Special Auto","Special L1","Offer4","Branch",173.956072,"Four-Door Car","Medsize",4409.68093651298
"55","California",4293.997319,"No","Premium","Bachelor","Disabled","M",16701,"Suburban","Married",113,20,26,0,1,"Personal Auto","Personal L2","Offer1","Branch",831.625979,"Four-Door Car","Small",7532.12082670549
"56","Arizona",7164.395543,"No","Extended","College","Employed","F",46623,"Suburban","Divorced",91,1,53,0,3,"Corporate Auto","Corporate L3","Offer3","Call Center",436.8,"Four-Door Car","Small",6620.7655875712
"58","Arizona",3958.002823,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Married",101,29,12,0,1,"Personal Auto","Personal L2","Offer1","Call Center",484.8,"SUV","Small",7172.7241417615
"59","Oregon",4499.493252,"No","Extended","High School or Below","Disabled","F",16969,"Suburban","Divorced",124,34,47,2,1,"Personal Auto","Personal L3","Offer1","Call Center",704.768111,"SUV","Medsize",7928.86072738572
"60","Oregon",4059.567414,"No","Premium","Master","Disabled","F",11621,"Suburban","Divorced",108,4,98,0,1,"Personal Auto","Personal L1","Offer1","Agent",518.4,"Four-Door Car","Medsize",6947.81100150081
"61","Arizona",4458.113369,"Yes","Basic","Bachelor","Retired","M",17622,"Suburban","Divorced",65,1,36,1,3,"Personal Auto","Personal L1","Offer1","Agent",312,"Four-Door Car","Medsize",5368.15320495927
"65","Arizona",6613.973653,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",63,21,28,0,2,"Personal Auto","Personal L3","Offer3","Branch",676.391482,"Four-Door Car","Large",4460.62746710056
"66","Washington",2930.693543,"No","Basic","College","Employed","M",33663,"Suburban","Married",73,29,71,0,1,"Personal Auto","Personal L3","Offer3","Web",350.4,"Four-Door Car","Medsize",5093.36330504041
"67","Oregon",8672.194272,"No","Basic","College","Employed","F",22547,"Suburban","Divorced",112,7,60,0,3,"Corporate Auto","Corporate L3","Offer1","Agent",537.6,"SUV","Medsize",8378.35532865965
"68","Arizona",11638.66926,"No","Extended","High School or Below","Employed","F",61486,"Urban","Married",97,5,65,0,2,"Personal Auto","Personal L3","Offer4","Branch",465.258644,"Two-Door Car","Small",6306.80763562597
"69","Oregon",6846.150323,"Yes","Extended","Bachelor","Unemployed","F",0,"Suburban","Divorced",95,13,20,0,5,"Personal Auto","Personal L3","Offer1","Call Center",456,"Two-Door Car","Large",7689.81370823206
"72","Oregon",2614.474305,"No","Basic","Master","Employed","M",65186,"Rural","Married",65,29,27,0,1,"Personal Auto","Personal L2","Offer2","Web",5.434505,"Two-Door Car","Large",5075.6950805847
"76","Oregon",8591.604933,"No","Basic","Bachelor","Employed","M",38984,"Suburban","Married",73,27,38,0,2,"Personal Auto","Personal L3","Offer2","Branch",350.4,"Four-Door Car","Small",5334.26270750766
"78","Nevada",8009.472833,"No","Basic","College","Employed","M",20961,"Suburban","Married",67,20,33,0,2,"Personal Auto","Personal L1","Offer2","Agent",321.6,"Four-Door Car","Medsize",5003.88918129012
"81","California",8025.229358,"No","Extended","College","Unemployed","F",0,"Rural","Single",77,20,26,0,2,"Personal Auto","Personal L3","Offer3","Branch",25.807685,"Two-Door Car","Large",5369.2450490553
"82","California",5780.182197,"Yes","Basic","High School or Below","Employed","M",51066,"Suburban","Single",74,23,0,0,8,"Personal Auto","Personal L3","Offer2","Call Center",787.993313,"Four-Door Car","Medsize",7012.68887910906
"83","California",4118.539113,"No","Basic","Doctor","Employed","M",34378,"Suburban","Married",102,12,54,0,1,"Personal Auto","Personal L1","Offer3","Branch",489.6,"SUV","Medsize",7035.77897322773
"84","Nevada",2523.07015,"No","Basic","Master","Employed","M",43072,"Suburban","Married",63,35,15,0,1,"Personal Auto","Personal L3","Offer2","Call Center",302.4,"Four-Door Car","Large",4710.69352336145
"85","Oregon",6554.216396,"No","Extended","College","Disabled","F",25222,"Suburban","Single",90,28,69,0,3,"Personal Auto","Personal L3","Offer2","Agent",475.623251,"Four-Door Car","Small",5714.52021339862
"86","Washington",7703.397294,"No","Basic","High School or Below","Employed","M",36765,"Suburban","Married",66,15,32,1,2,"Personal Auto","Personal L2","Offer1","Call Center",320.849072,"Four-Door Car","Medsize",5507.55269070031
"87","California",5926.729379,"Yes","Extended","College","Retired","M",23091,"Suburban","Married",96,28,90,5,5,"Personal Auto","Personal L1","Offer1","Agent",460.8,"Four-Door Car","Medsize",6680.99211894486
"88","California",2683.470677,"No","Basic","Bachelor","Employed","F",48269,"Urban","Married",69,3,79,3,1,"Corporate Auto","Corporate L2","Offer3","Web",282.151207,"Four-Door Car","Medsize",4572.86334700236
"89","Oregon",2695.182419,"No","Basic","Bachelor","Employed","F",32720,"Suburban","Divorced",67,13,12,0,1,"Personal Auto","Personal L2","Offer3","Branch",321.6,"Four-Door Car","Medsize",5076.10470395546
"90","California",6047.02516,"Yes","Extended","College","Employed","M",20396,"Suburban","Married",76,15,60,1,4,"Personal Auto","Personal L3","Offer1","Branch",364.8,"Four-Door Car","Medsize",6333.35348799529
"92","Washington",10656.88195,"Yes","Extended","Bachelor","Employed","F",72540,"Suburban","Married",88,7,3,0,2,"Corporate Auto","Corporate L3","Offer2","Call Center",631.743039,"Two-Door Car","Medsize",6571.49963302738
"93","Oregon",2527.653796,"No","Basic","Bachelor","Employed","F",80744,"Rural","Married",63,24,84,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",11.879037,"Four-Door Car","Medsize",5144.59389944667
"98","California",4801.661503,"No","Basic","Bachelor","Medical Leave","M",18107,"Suburban","Married",62,29,11,0,8,"Personal Auto","Personal L2","Offer1","Agent",297.6,"Four-Door Car","Medsize",6824.78143356606
"99","Arizona",5745.94334,"No","Basic","Bachelor","Employed","F",57740,"Urban","Married",74,30,87,3,9,"Personal Auto","Personal L1","Offer3","Web",269.905129,"Four-Door Car","Medsize",6992.48474514211
"100","Oregon",6066.115969,"No","Extended","College","Employed","M",32627,"Suburban","Married",76,11,60,0,7,"Personal Auto","Personal L2","Offer1","Agent",380.036697,"Two-Door Car","Small",7556.51643812094
"101","California",8002.308333,"Yes","Basic","College","Unemployed","F",0,"Suburban","Married",107,3,65,0,3,"Personal Auto","Personal L3","Offer1","Agent",513.6,"SUV","Medsize",7759.55955393663
"102","California",2393.915369,"Yes","Basic","College","Unemployed","M",0,"Suburban","Single",70,24,10,0,1,"Personal Auto","Personal L1","Offer1","Branch",425.266308,"Four-Door Car","Medsize",4998.62929843765
"103","Oregon",4762.8179,"No","Basic","Bachelor","Employed","M",65795,"Rural","Single",62,2,85,1,3,"Corporate Auto","Corporate L3","Offer3","Call Center",49.011099,"Two-Door Car","Medsize",5076.76668371168
"104","California",4330.38602,"Yes","Premium","College","Employed","M",60475,"Suburban","Married",107,9,18,0,1,"Personal Auto","Personal L3","Offer2","Branch",513.6,"Four-Door Car","Medsize",7126.53643873686
"106","Oregon",6966.694527,"No","Extended","Bachelor","Employed","F",41837,"Rural","Married",88,29,93,0,9,"Personal Auto","Personal L3","Offer1","Call Center",142.062768,"Four-Door Car","Small",8314.23824486984
"107","California",7694.064293,"No","Basic","Bachelor","Employed","F",32303,"Rural","Married",65,13,34,0,2,"Personal Auto","Personal L1","Offer3","Branch",45.152521,"Four-Door Car","Medsize",5152.65120032946
"108","Oregon",8717.561149,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Married",117,5,89,1,3,"Personal Auto","Personal L1","Offer1","Agent",561.6,"SUV","Medsize",8004.14276767404
"109","California",5928.748528,"No","Basic","Bachelor","Employed","F",40531,"Rural","Married",74,17,32,0,9,"Personal Auto","Personal L3","Offer1","Agent",30.567357,"Two-Door Car","Medsize",8166.70350537425
"110","Oregon",2452.977288,"No","Basic","College","Employed","M",79898,"Urban","Married",62,5,86,1,1,"Corporate Auto","Corporate L1","Offer4","Agent",271.606799,"Four-Door Car","Medsize",4002.53795620602
"111","California",6701.571657,"No","Extended","College","Employed","M",56398,"Suburban","Married",85,4,18,0,7,"Personal Auto","Personal L3","Offer4","Agent",408,"Four-Door Car","Small",7061.03284434123
"113","Arizona",8492.6988,"No","Basic","College","Employed","M",27804,"Suburban","Married",109,19,54,0,7,"Personal Auto","Personal L3","Offer2","Branch",784.8,"SUV","Medsize",8774.40563854581
"117","Oregon",4772.943848,"Yes","Extended","High School or Below","Retired","M",20993,"Suburban","Divorced",133,35,90,0,1,"Personal Auto","Personal L3","Offer2","Agent",638.4,"SUV","Medsize",7805.42385545261
"118","Arizona",6806.491395,"No","Extended","High School or Below","Employed","M",37839,"Suburban","Married",86,35,77,0,9,"Personal Auto","Personal L3","Offer2","Branch",465.633954,"Two-Door Car","Medsize",7914.5805159962
"119","California",2469.781334,"No","Basic","Bachelor","Employed","F",92711,"Suburban","Single",62,24,10,0,1,"Personal Auto","Personal L2","Offer3","Agent",368.400146,"Two-Door Car","Medsize",5095.66370515061
"121","Washington",2981.875575,"No","Extended","College","Unemployed","M",0,"Suburban","Married",83,26,89,0,1,"Personal Auto","Personal L2","Offer3","Web",582.679087,"Two-Door Car","Medsize",5318.53099377726
"122","California",8902.737595,"No","Basic","Bachelor","Employed","M",46833,"Rural","Married",112,6,3,0,9,"Personal Auto","Personal L3","Offer1","Call Center",64.109663,"Sports Car","Medsize",9876.40446577207
"125","Nevada",2509.107875,"No","Basic","Bachelor","Employed","F",33555,"Rural","Married",63,17,11,0,1,"Personal Auto","Personal L3","Offer1","Agent",101.89645,"Four-Door Car","Medsize",5293.93772473749
"127","Oregon",3133.503432,"No","Extended","Master","Employed","F",58850,"Rural","Single",78,20,26,0,1,"Personal Auto","Personal L3","Offer2","Branch",143.747794,"Four-Door Car","Medsize",5202.45129373714
"129","Oregon",11790.49617,"Yes","Basic","College","Retired","M",25251,"Suburban","Divorced",66,13,43,0,2,"Personal Auto","Personal L2","Offer2","Web",316.8,"Four-Door Car","Medsize",4655.50703422631
"130","Washington",7838.068321,"No","Basic","Master","Unemployed","F",0,"Rural","Married",69,9,12,0,2,"Personal Auto","Personal L1","Offer2","Agent",2.704934,"Four-Door Car","Medsize",4840.08602334503
"131","Arizona",4305.808345,"No","Basic","High School or Below","Employed","M",24188,"Suburban","Married",109,14,82,0,1,"Personal Auto","Personal L3","Offer1","Agent",523.2,"Sports Car","Medsize",7102.54742380329
"132","Nevada",5973.976904,"No","Basic","Bachelor","Employed","F",41611,"Rural","Married",74,14,8,0,8,"Special Auto","Special L2","Offer1","Branch",113.801497,"Four-Door Car","Medsize",7768.28336152668
"133","Oregon",5670.442396,"No","Basic","Bachelor","Employed","F",28406,"Urban","Married",72,16,35,1,4,"Personal Auto","Personal L3","Offer1","Call Center",192.87572,"Four-Door Car","Medsize",6290.08149623742
"134","Arizona",4731.749346,"No","Premium","College","Employed","M",69833,"Suburban","Married",118,32,99,0,1,"Personal Auto","Personal L3","Offer1","Agent",828.662719,"Four-Door Car","Small",7914.02393054607
"135","Arizona",8026.379641,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",74,15,91,0,2,"Corporate Auto","Corporate L2","Offer1","Web",532.8,"Four-Door Car","Small",5090.38408481165
"137","Oregon",9618.310865,"No","Basic","High School or Below","Employed","F",80536,"Rural","Married",119,5,83,0,3,"Special Auto","Special L2","Offer1","Branch",53.798708,"Sports Car","Medsize",8335.0631256771
"138","Washington",2274.775451,"No","Basic","College","Unemployed","F",0,"Suburban","Single",63,2,5,0,1,"Personal Auto","Personal L2","Offer2","Agent",606.642452,"Four-Door Car","Small",4089.27133099188
"139","Oregon",9552.926922,"No","Extended","College","Employed","F",97732,"Urban","Married",79,0,70,0,2,"Personal Auto","Personal L3","Offer4","Branch",289.9122,"Four-Door Car","Medsize",5337.14534260682
"140","Arizona",10388.55323,"No","Extended","Bachelor","Employed","F",61222,"Urban","Single",89,20,55,0,2,"Special Auto","Special L3","Offer3","Branch",392.604371,"Four-Door Car","Small",6074.39956265109
"141","Oregon",2470.121222,"No","Basic","College","Unemployed","M",0,"Suburban","Single",74,7,20,0,1,"Personal Auto","Personal L1","Offer4","Web",721.242206,"Two-Door Car","Large",4415.83568970365
"143","California",9047.119209,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",127,30,11,0,6,"Personal Auto","Personal L2","Offer3","Branch",1087.995426,"Sports Car","Medsize",8648.08026732963
"145","Oregon",3731.504584,"Yes","Extended","High School or Below","Unemployed","F",0,"Suburban","Married",96,31,34,0,1,"Personal Auto","Personal L1","Offer1","Agent",460.8,"Four-Door Car","Large",6342.06289834934
"146","Nevada",3660.770258,"No","Extended","Bachelor","Employed","M",64495,"Urban","Married",92,34,30,0,1,"Corporate Auto","Corporate L2","Offer4","Web",251.992083,"Four-Door Car","Medsize",5730.33672995466
"150","Oregon",3885.456401,"Yes","Premium","College","Unemployed","M",0,"Suburban","Married",105,3,92,0,1,"Corporate Auto","Corporate L2","Offer1","Branch",504,"Four-Door Car","Large",6788.4319237391
"151","Washington",2659.337982,"No","Basic","Bachelor","Employed","M",24495,"Suburban","Single",70,29,65,0,1,"Personal Auto","Personal L2","Offer4","Branch",336,"Four-Door Car","Small",4150.2525385512
"152","Washington",8564.768226,"Yes","Basic","High School or Below","Employed","M",95697,"Rural","Married",107,29,29,0,9,"Personal Auto","Personal L3","Offer2","Agent",178.006524,"Sports Car","Medsize",9110.29995599432
"153","Arizona",4885.162511,"No","Extended","High School or Below","Disabled","M",26372,"Suburban","Married",126,11,7,0,1,"Personal Auto","Personal L3","Offer4","Agent",604.8,"SUV","Medsize",7512.25747017934
"154","Arizona",9753.307106,"No","Extended","Bachelor","Medical Leave","F",17514,"Rural","Married",127,2,5,0,3,"Personal Auto","Personal L1","Offer1","Branch",8.312729,"SUV","Medsize",9044.92184311279
"156","California",2581.110945,"No","Basic","High School or Below","Employed","M",29757,"Suburban","Married",65,13,55,0,1,"Personal Auto","Personal L2","Offer2","Web",312,"Four-Door Car","Small",4570.48788882602
"157","Oregon",3517.385764,"No","Extended","College","Employed","M",51814,"Rural","Single",92,28,89,0,1,"Personal Auto","Personal L2","Offer3","Agent",56.300724,"Four-Door Car","Medsize",5751.04470042736
"158","Oregon",9743.350113,"No","Extended","Bachelor","Employed","F",24028,"Suburban","Married",82,14,27,0,2,"Personal Auto","Personal L2","Offer2","Agent",393.6,"Four-Door Car","Small",5750.60916458402
"159","Arizona",3873.647046,"Yes","Basic","College","Retired","M",28142,"Suburban","Married",105,18,50,0,1,"Personal Auto","Personal L3","Offer2","Agent",701.708239,"Sports Car","Medsize",6201.05448849937
"162","Washington",4475.424592,"No","Basic","College","Employed","F",84903,"Urban","Married",111,7,63,0,1,"Personal Auto","Personal L1","Offer1","Agent",497.126827,"SUV","Medsize",8014.70052689199
"163","California",8714.922135,"Yes","Basic","College","Unemployed","F",0,"Suburban","Divorced",118,14,64,0,4,"Personal Auto","Personal L3","Offer1","Agent",566.4,"SUV","Medsize",8555.79417176315
"164","Washington",2248.449633,"Yes","Basic","Bachelor","Retired","F",24910,"Suburban","Single",63,7,63,1,1,"Personal Auto","Personal L1","Offer1","Branch",347.857619,"Four-Door Car","Medsize",4406.22161263802
"165","California",7416.197322,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",77,15,12,2,2,"Personal Auto","Personal L3","Offer1","Agent",554.4,"Four-Door Car","Medsize",5357.68388976174
"166","Oregon",7771.158973,"No","Basic","Master","Medical Leave","M",21876,"Suburban","Married",68,12,28,0,2,"Personal Auto","Personal L3","Offer1","Agent",465.41477,"Four-Door Car","Small",5407.22933405669
"167","California",6968.3419,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",69,33,61,1,2,"Personal Auto","Personal L3","Offer1","Agent",496.8,"Four-Door Car","Small",4874.13369247661
"168","California",4250.282624,"Yes","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",61,17,1,1,7,"Personal Auto","Personal L1","Offer1","Agent",292.8,"Four-Door Car","Small",6135.44865165815
"169","Oregon",19776.56654,"No","Extended","High School or Below","Employed","F",70699,"Urban","Divorced",82,1,57,0,2,"Personal Auto","Personal L2","Offer3","Agent",256.813837,"Four-Door Car","Medsize",5998.99720873615
"171","California",2413.139714,"No","Basic","College","Medical Leave","M",27501,"Suburban","Married",63,20,0,0,1,"Personal Auto","Personal L1","Offer4","Branch",542.319401,"Four-Door Car","Medsize",4083.22587141084
"172","Oregon",15363.84716,"No","Premium","Doctor","Disabled","F",15897,"Urban","Divorced",101,30,99,0,2,"Personal Auto","Personal L3","Offer2","Agent",303.148399,"Four-Door Car","Medsize",6300.65714744736
"173","Nevada",8456.961887,"No","Basic","College","Employed","F",25141,"Rural","Divorced",73,12,4,1,2,"Personal Auto","Personal L3","Offer3","Agent",25.438063,"Four-Door Car","Medsize",5521.5394725347
"174","Nevada",2189.642522,"No","Basic","College","Unemployed","F",0,"Suburban","Married",61,5,46,3,1,"Personal Auto","Personal L2","Offer3","Agent",292.8,"Four-Door Car","Small",3885.82054691754
"175","California",5780.182197,"Yes","Basic","High School or Below","Employed","M",51066,"Suburban","Single",74,23,0,0,8,"Personal Auto","Personal L2","Offer2","Call Center",787.993313,"Four-Door Car","Medsize",7012.68887910906
"176","California",4639.981638,"No","Basic","Bachelor","Employed","F",28358,"Rural","Married",117,24,37,0,1,"Personal Auto","Personal L2","Offer2","Call Center",84.024413,"Sports Car","Medsize",7099.43666457266
"177","Washington",4465.335703,"No","Basic","College","Employed","F",61846,"Rural","Married",112,1,48,0,1,"Personal Auto","Personal L2","Offer2","Agent",215.8182,"SUV","Medsize",7438.38823728932
"179","Washington",5097.763337,"No","Basic","College","Unemployed","F",0,"Suburban","Single",74,3,95,0,7,"Personal Auto","Personal L3","Offer3","Web",532.8,"Two-Door Car","Medsize",6277.39807129945
"180","California",4076.634665,"No","Basic","Bachelor","Employed","F",29549,"Suburban","Divorced",104,17,51,0,1,"Personal Auto","Personal L2","Offer2","Call Center",710.433775,"Sports Car","Small",6427.10612823941
"181","California",12252.60179,"No","Premium","Bachelor","Unemployed","F",0,"Suburban","Married",115,12,17,1,2,"Personal Auto","Personal L2","Offer1","Agent",552,"Four-Door Car","Medsize",7757.93169927652
"182","Nevada",16936.27147,"No","Extended","Bachelor","Employed","F",39411,"Suburban","Married",217,4,29,2,4,"Personal Auto","Personal L3","Offer3","Branch",1122.658899,"Luxury Car","Medsize",12682.2289203135
"183","Oregon",4892.435461,"No","Basic","High School or Below","Employed","M",21709,"Suburban","Married",62,28,17,0,3,"Personal Auto","Personal L2","Offer2","Branch",408.374746,"Four-Door Car","Large",5116.99229135355
"186","California",13117.52215,"No","Basic","High School or Below","Employed","F",84311,"Suburban","Single",111,11,98,4,2,"Personal Auto","Personal L3","Offer3","Call Center",532.8,"SUV","Small",7030.28730178399
"187","California",4574.524094,"No","Basic","College","Employed","F",99316,"Suburban","Single",114,26,53,0,1,"Corporate Auto","Corporate L3","Offer2","Branch",754.358929,"SUV","Medsize",7429.03740604558
"188","Arizona",5470.060561,"Yes","Extended","Bachelor","Employed","F",54507,"Suburban","Married",138,20,11,0,1,"Personal Auto","Personal L1","Offer2","Agent",702.990032,"SUV","Medsize",8804.81698581147
"189","California",2978.84601,"No","Extended","Bachelor","Employed","F",64586,"Urban","Single",76,3,17,0,1,"Personal Auto","Personal L1","Offer3","Branch",206.837111,"Four-Door Car","Medsize",5375.01675595382
"191","California",4479.023088,"No","Basic","Master","Employed","M",94656,"Urban","Married",111,12,79,1,1,"Special Auto","Special L2","Offer4","Web",459.738128,"SUV","Medsize",6897.19953495676
"193","California",2764.493659,"No","Basic","Bachelor","Employed","M",61085,"Suburban","Married",70,27,34,1,1,"Personal Auto","Personal L3","Offer2","Branch",336,"Two-Door Car","Medsize",5146.11615833462
"195","Arizona",6889.097981,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Divorced",63,6,12,0,2,"Personal Auto","Personal L2","Offer1","Branch",302.4,"Four-Door Car","Small",5159.21597175691
"196","Washington",3274.194616,"No","Extended","Bachelor","Employed","F",31686,"Suburban","Married",81,11,33,0,1,"Personal Auto","Personal L3","Offer1","Agent",430.994107,"Four-Door Car","Small",6035.05723873771
